PassengerId,Survived_pred,Survived_prob
892,0,0.18819820872773868
893,0,0.3372731696615292
894,0,0.33787572068946115
895,0,0.17616835137710363
896,0,0.42739266549847255
897,0,0.14884369781431936
898,0,0.4641455931307578
899,0,0.23732542578778557
900,1,0.5646988787087303
901,0,0.1625544429818465
902,0,0.1666445418532941
903,0,0.2161296125832767
904,1,0.7452549125785598
905,0,0.23825135171371148
906,1,0.7407625028974708
907,1,0.8277027286887295
908,0,0.33787572068946115
909,0,0.3078146355214957
910,0,0.3834366552986991
911,1,0.6132354640745838
912,0,0.4251499690785406
913,0,0.2095289475239593
914,1,0.6981354153829277
915,0,0.35600494743351885
916,1,0.8537635537643329
917,0,0.18172961258327672
918,1,0.856270726460185
919,0,0.3078146355214957
920,0,0.2917585434008868
921,0,0.25738707311954384
922,0,0.23825135171371148
923,0,0.2136500757966461
924,0,0.4169225800283871
925,0,0.2970507851565923
926,0,0.4424455665628173
927,0,0.32924320695006715
928,0,0.4032988106871702
929,0,0.37351602037806414
930,0,0.17616835137710363
931,0,0.25163485002487407
932,0,0.31211941261928156
933,0,0.2917585434008868
934,0,0.1666445418532941
935,1,0.6865969538444661
936,1,0.7407625028974708
937,0,0.17616835137710363
938,0,0.4367173359596479
939,0,0.22966162336188498
940,1,0.8455817355825148
941,0,0.476843214949022
942,0,0.37309369607354786
943,0,0.24296581077955123
944,1,0.7202571545133625
945,1,0.7170079378993599
946,0,0.24296581077955123
947,0,0.21961141978215143
948,0,0.1666445418532941
949,0,0.13894497799013145
950,0,0.19662322960455328
951,1,0.8673818375712958
952,0,0.14884369781431936
953,0,0.2161296125832767
954,0,0.14884369781431936
955,1,0.5363678153529801
956,1,0.5770326023340635
957,1,0.6865969538444661
958,1,0.5185900375752023
959,0,0.2161296125832767
960,0,0.4338421132731044
961,1,0.730172798484237
962,1,0.5530344820196468
963,0,0.14884369781431936
964,0,0.4032988106871702
965,0,0.4338421132731044
966,1,0.8673818375712958
967,1,0.5409304150476657
968,0,0.1666445418532941
969,1,0.7018103423165503
970,0,0.2161296125832767
971,1,0.5530344820196468
972,1,0.7025207189117897
973,0,0.3512935940847666
974,0,0.2161296125832767
975,0,0.1666445418532941
976,0,0.33787572068946115
